UniqueAnimalID,min,max,dias_tracking,TotalDistance_km,distance_per_day,AvgLatitude,AvgLongitude,Year
158,1991-10-24,1991-11-28,36,593.8570792366802,16.49602997879667,69.09421449275362,-178.16004347826086,1991
159,1991-07-01,1991-11-30,153,1188.56012849759,7.768366852925426,69.29081650485436,-178.19398737864077,1991
163,1991-07-01,1991-11-30,153,2639.3569110608055,17.250698765103305,71.78830285204991,-177.08792424242426,1991
164,1991-09-23,1991-11-30,69,849.0838767630306,12.30556343134827,69.75089425287356,-177.20157356321837,1991
165,1991-07-01,1991-11-16,139,2308.0684774080223,16.604809189985772,70.88202337078651,-177.6117617977528,1991
167,1992-07-01,1992-11-30,153,2797.2161902098323,18.282458759541388,71.67353590163934,-159.71767606557376,1992
168,1992-07-01,1992-11-29,152,4249.751808945075,27.95889347990181,70.93264191419141,-146.507951650165,1992
169,1992-07-01,1993-11-30,518,7350.599166051469,14.190345880408241,72.1420894239037,-158.85366405846946,1992
170,1999-07-01,2000-10-27,485,6021.7911560823795,12.416064239345113,71.86627914171657,-153.9893741516966,1999
172,1992-07-01,1993-11-30,518,6954.337389981009,13.425361756720095,72.7831151391162,-154.86899050736497,1992
174,1992-07-01,1993-11-30,518,5925.172792679806,11.43855751482588,71.7459562338779,-164.6664969905417,1992
175,1992-07-01,1992-11-30,153,3636.125283863095,23.76552473113134,70.64808786885246,-173.95055081967212,1992
176,1992-07-01,1992-11-30,153,3030.5888838630003,19.80777048276471,72.04481491803278,-164.11742573770493,1992
179,1992-07-01,1993-11-27,515,3810.084597537734,7.398222519490746,71.17576644993498,-177.11103042912873,1992
180,1992-07-01,1992-11-30,153,3271.806988011143,21.38435939876564,71.6564392014519,-166.37464700544464,1992
181,1992-07-01,1992-11-30,153,3169.6388652601795,20.716593890589408,71.27525163934426,-166.1840895081967,1992
182,1993-07-01,1993-11-30,153,4059.164331732318,26.530485828315804,70.80589691470054,-176.7164284936479,1993
183,1992-07-01,1992-11-30,153,3382.4501895309863,22.107517578633896,71.80604114754098,-167.67024196721312,1992
184,1992-07-01,1993-11-30,518,7792.733783814004,15.043887613540548,71.56292368200836,-167.81775974895396,1992
186,1992-07-01,1993-08-29,425,5631.191366726228,13.24986203935583,71.72869929328621,-167.4928858657244,1992
187,1992-07-01,1992-11-30,153,3428.6314097598197,22.409355619345227,70.32131278688524,-172.43358196721312,1992
188,1992-08-22,1992-11-30,101,944.0845269857639,9.347371554314494,69.71379710144929,-177.60571666666667,1992
189,1992-07-01,1992-11-30,153,3391.3322958625713,22.165570561193277,71.67663590163934,-166.39723475409838,1992
190,1992-07-01,1992-11-30,153,3668.285666024955,23.975723307352645,71.56553180327869,-165.81347409836064,1992
191,1992-07-01,1992-11-30,153,1980.8046670943527,12.946435732642827,71.43327655913978,-179.19841161290324,1992
192,1992-07-01,1993-10-26,483,6930.439453449741,14.348735928467374,73.71998114602587,-166.3687296672828,1992
193,1992-07-01,1992-11-22,145,3612.058330701803,24.910747108288295,71.55706869565218,-162.98709686956522,1992
195,1992-10-22,1992-11-30,40,527.0817188447832,13.17704297111958,68.90597,-178.35193222222222,1992
196,1992-08-18,1992-09-23,37,607.4982491557314,16.418871598803552,72.59699716981133,-178.91550566037736,1992
202,1993-07-01,1993-11-30,153,2179.4045835775173,14.244474402467434,71.15819973544974,-177.06207857142857,1993
203,1993-07-01,1993-11-30,153,3259.9715155425642,21.307003369559244,72.31663220338983,-172.00713745762712,1993
204,1986-07-01,1987-11-17,505,5151.823466360959,10.201630626457344,72.59819649289099,-149.12396360189572,1986
207,1991-07-01,1991-11-30,153,2741.243287118221,17.91662279162236,71.39985584415584,-143.4153241187384,1991
208,1992-07-01,1992-11-30,153,3425.70595824842,22.3902350212315,70.45179999999999,-144.5793093442623,1992
209,1987-07-01,1987-11-30,153,3105.7547319330256,20.29905053550997,71.58740837209302,-157.04018813953488,1987
211,2008-07-01,2008-11-30,153,2973.5345795632757,19.434866533093306,71.34658491803279,-136.03286524590163,2008
212,1991-07-01,1992-10-28,486,6456.90037635986,13.285803243538806,70.17599336683418,-142.52944100502515,1991
214,1988-07-01,1989-10-13,470,5549.532546916252,11.807516057268622,72.41697322297955,-130.74709717624148,1988
215,2009-08-19,2009-11-14,88,849.9745408373552,9.658801600424491,70.23636017191977,-144.93795157593124,2009
235,1993-07-01,1993-11-30,153,3077.0099366862187,20.11117605677267,72.31718169014086,-168.5277810865191,1993
236,1993-07-01,1993-11-30,153,2589.0603636210058,16.921963160921607,70.72610628140704,-174.39706231155776,1993
237,1993-08-12,1994-08-31,385,1951.8540207191522,5.069750703166629,70.69046956521738,-176.56910724637683,1993
239,1993-07-01,1993-11-30,153,3658.870981163652,23.914189419370274,73.09696152570481,-171.14277976782753,1993
240,1993-07-01,1993-11-30,153,1548.8183176361506,10.12299554010556,70.90472784313727,-178.39065764705884,1993
241,1993-07-01,1993-11-23,146,1904.9089620020036,13.04732165754797,69.4064527173913,-175.23231739130435,1993
242,1993-07-01,1994-11-07,495,6297.976054086158,12.723183947648804,72.28275943905071,-172.49870118662352,1993
243,1993-07-03,1993-09-26,86,922.3940386319833,10.725512077116086,74.68567518248175,-178.29104014598542,1993
244,1993-07-01,1993-11-30,153,3145.7962319623166,20.560759686028213,72.29367829099307,-177.00318799076211,1993
245,1993-07-01,1993-11-21,144,2789.5351692059667,19.37177200837477,68.94663139240507,-176.7925658227848,1993
246,1993-07-01,1993-11-30,153,2950.439755112078,19.283919968052796,73.58881614100186,-173.79572708719854,1993
247,1993-07-01,1993-11-30,153,3244.4673026959094,21.205668645071302,72.287144,-172.4645623529412,1993
248,1993-07-01,1993-11-30,153,1354.8049837811895,8.854934534517579,69.3308709090909,-175.75687484848484,1993
249,1993-08-06,1994-11-30,482,5189.840607031459,10.767304163965681,68.05557307692308,-174.7978605065666,1993
250,1993-07-01,1993-11-01,124,1859.148471410717,14.993132833957397,72.10183489208633,-174.8157334532374,1993
252,1995-07-01,1995-08-01,32,799.7443814865782,24.992011921455568,69.1991208,-177.5143832,1995
253,1995-07-01,1995-11-30,153,4154.634279966807,27.154472418083706,72.39384491803278,-162.52978672131147,1995
254,1995-07-01,1995-11-13,136,2424.9111629624617,17.830229139429864,72.05823397435897,-166.57219508547007,1995
